county_geoid,total_rows,match_rows,tie_rows,resolved_rows,strict_match_rate_pct,tract_resolution_rate_pct,state_abbrev
45069,19,19,0,19,100.0,100.0,SC
45071,71,71,0,71,100.0,100.0,SC
45073,150,145,5,147,96.67,98.0,SC
45075,160,159,1,160,99.38,100.0,SC
45077,340,317,23,317,93.24,93.24,SC
45079,1730,1724,6,1729,99.65,99.94,SC
45081,9,9,0,9,100.0,100.0,SC
45083,1467,1455,12,1465,99.18,99.86,SC
45085,283,282,1,282,99.65,99.65,SC
45087,33,33,0,33,100.0,100.0,SC
45089,23,23,0,23,100.0,100.0,SC
45091,802,777,25,786,96.88,98.0,SC
46005,8,7,1,8,87.5,100.0,SD
46007,1,1,0,1,100.0,100.0,SD
46009,1,1,0,1,100.0,100.0,SD
46011,30,30,0,30,100.0,100.0,SD
46013,43,43,0,43,100.0,100.0,SD
46015,2,2,0,2,100.0,100.0,SD
46019,2,2,0,2,100.0,100.0,SD
46023,3,3,0,3,100.0,100.0,SD
46025,1,1,0,1,100.0,100.0,SD
46027,9,9,0,9,100.0,100.0,SD
46029,35,32,3,32,91.43,91.43,SD
46031,1,1,0,1,100.0,100.0,SD
46033,5,3,2,5,60.0,100.0,SD
46035,28,28,0,28,100.0,100.0,SD
46037,1,1,0,1,100.0,100.0,SD
46043,1,1,0,1,100.0,100.0,SD
46047,6,6,0,6,100.0,100.0,SD
46051,1,1,0,1,100.0,100.0,SD
46057,1,1,0,1,100.0,100.0,SD
46063,1,1,0,1,100.0,100.0,SD
46065,36,36,0,36,100.0,100.0,SD
46077,1,1,0,1,100.0,100.0,SD
46079,3,3,0,3,100.0,100.0,SD
46081,30,30,0,30,100.0,100.0,SD
46083,180,180,0,180,100.0,100.0,SD
46085,1,1,0,1,100.0,100.0,SD
46087,1,1,0,1,100.0,100.0,SD
46093,10,10,0,10,100.0,100.0,SD
46099,718,715,3,716,99.58,99.72,SD
46101,2,2,0,2,100.0,100.0,SD
46103,283,283,0,283,100.0,100.0,SD
46107,1,1,0,1,100.0,100.0,SD
46109,7,6,1,7,85.71,100.0,SD
46121,1,1,0,1,100.0,100.0,SD
46123,3,3,0,3,100.0,100.0,SD
46127,34,34,0,34,100.0,100.0,SD
46129,2,2,0,2,100.0,100.0,SD
46135,19,19,0,19,100.0,100.0,SD
47001,256,247,9,252,96.48,98.44,TN
47003,50,50,0,50,100.0,100.0,TN
47005,5,5,0,5,100.0,100.0,TN
47007,4,4,0,4,100.0,100.0,TN
47009,246,238,8,243,96.75,98.78,TN
47011,215,197,18,208,91.63,96.74,TN
47013,28,27,1,27,96.43,96.43,TN
47015,10,9,1,10,90.0,100.0,TN
47017,11,11,0,11,100.0,100.0,TN
47019,42,42,0,42,100.0,100.0,TN
47021,40,39,1,40,97.5,100.0,TN
47023,4,4,0,4,100.0,100.0,TN
47025,30,30,0,30,100.0,100.0,TN
47027,2,2,0,2,100.0,100.0,TN
47029,26,25,1,25,96.15,96.15,TN
47031,84,83,1,83,98.81,98.81,TN
47033,8,8,0,8,100.0,100.0,TN
47035,84,84,0,84,100.0,100.0,TN
47037,3582,3552,30,3571,99.16,99.69,TN
47039,3,3,0,3,100.0,100.0,TN
47041,12,12,0,12,100.0,100.0,TN
47043,81,75,6,80,92.59,98.77,TN
47045,21,21,0,21,100.0,100.0,TN
47047,58,58,0,58,100.0,100.0,TN
47049,8,8,0,8,100.0,100.0,TN
47051,25,25,0,25,100.0,100.0,TN
47053,41,41,0,41,100.0,100.0,TN
47055,30,30,0,30,100.0,100.0,TN
47057,11,11,0,11,100.0,100.0,TN
47059,94,94,0,94,100.0,100.0,TN
47061,3,3,0,3,100.0,100.0,TN
47063,145,144,1,144,99.31,99.31,TN
47065,1173,1172,1,1173,99.91,100.0,TN
47067,2,2,0,2,100.0,100.0,TN
47069,8,8,0,8,100.0,100.0,TN
47071,6,5,1,5,83.33,83.33,TN
47073,39,38,1,39,97.44,100.0,TN
47075,12,12,0,12,100.0,100.0,TN
47077,8,7,1,8,87.5,100.0,TN
47079,22,22,0,22,100.0,100.0,TN
47081,18,18,0,18,100.0,100.0,TN
47083,4,4,0,4,100.0,100.0,TN
47085,6,6,0,6,100.0,100.0,TN
47087,6,6,0,6,100.0,100.0,TN
47089,59,59,0,59,100.0,100.0,TN
47093,1936,1923,13,1933,99.33,99.85,TN
47095,3,3,0,3,100.0,100.0,TN
47097,19,19,0,19,100.0,100.0,TN
47099,34,34,0,34,100.0,100.0,TN
47101,7,7,0,7,100.0,100.0,TN
47103,26,26,0,26,100.0,100.0,TN
47105,114,112,2,114,98.25,100.0,TN
47107,78,76,2,76,97.44,97.44,TN
47109,10,10,0,10,100.0,100.0,TN
47111,3,3,0,3,100.0,100.0,TN
47113,323,319,4,323,98.76,100.0,TN
47115,18,17,1,18,94.44,100.0,TN
47117,50,50,0,50,100.0,100.0,TN
47119,260,256,4,260,98.46,100.0,TN
47121,10,9,1,10,90.0,100.0,TN
47123,42,42,0,42,100.0,100.0,TN
47125,522,517,5,522,99.04,100.0,TN
47129,9,9,0,9,100.0,100.0,TN
47131,19,19,0,19,100.0,100.0,TN
47133,9,9,0,9,100.0,100.0,TN
47135,1,1,0,1,100.0,100.0,TN
47137,1,1,0,1,100.0,100.0,TN
47139,11,11,0,11,100.0,100.0,TN
47141,154,154,0,154,100.0,100.0,TN
47143,33,32,1,33,96.97,100.0,TN
47145,74,68,6,72,91.89,97.3,TN
47147,123,122,1,123,99.19,100.0,TN
47149,953,944,9,945,99.06,99.16,TN
