LeaseCompId,PropertyId,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,Market,Submarket,Address.DeliveryAddress,Suite,Address.Locality,Address.County,Address.PostalCode,Address.RegionName,Address.Subdivision,Address.Country,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,full_address_std
110973813.0,5885418.0,,Gamez Home Decorators,Retailer,Window Treatment Retailers,San Francisco,Brisbane/Daly City,6024-6026 Mission St,,Daly City,San Mateo,94014.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"6024 MISSION ST, DALY CITY, CA 94014, UNITED STATES"
112038620.0,5885467.0,,Big O Tires,Retailer,Tire Dealers,San Francisco,Southern City,3160 Mission St,1st,San Francisco,San Francisco,94110.0,,CA,United States,False,Industrial,Third Party - Landlord Rep,CoStar Research,"3160 MISSION ST, SAN FRANCISCO, CA 94110, UNITED STATES"
112527435.0,5885583.0,Bldg F,"Gopro, Inc.",Manufacturing,Commercial and Service Industry Machinery Manufacturing,San Francisco,San Mateo,3000 Clearview Way,,San Mateo,San Mateo,94402.0,,CA,United States,False,Flex,Public Record - SEC filing,CoStar Research,"3000 CLEARVIEW WAY, SAN MATEO, CA 94402, UNITED STATES"
110920735.0,5888794.0,,,,,San Francisco,Southern City,4147 19th St,,San Francisco,San Francisco,94114.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"4147 19TH ST, SAN FRANCISCO, CA 94114, UNITED STATES"
111639248.0,5889455.0,Best Buy,Best Buy,Retailer,Electronics and Appliance Retailers,San Francisco,Mission/Potrero,1717-1801 Harrison St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Industrial,Third Party - Other,CoStar Research,"1717 HARRISON ST, SAN FRANCISCO, CA 94103, UNITED STATES"
186465781.0,5889463.0,,McGanty Photography,Retailer,,San Francisco,Mission/Potrero,2147-2151 Harrison St,2901,San Francisco,San Francisco,94110.0,,CA,United States,False,Industrial,Third Party - Landlord Rep,CoStar Research,"2147 HARRISON ST, SAN FRANCISCO, CA 94110, UNITED STATES"
170168291.0,5892589.0,,,,,San Francisco,Menlo Park,201 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office/Retail,Third Party - Landlord Rep,CoStar Research,"201 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
165786071.0,5892592.0,,,,,San Francisco,Menlo Park,241 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"241 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
112289386.0,5892594.0,,Gator Tech Integration,"Professional, Scientific, and Technical Services",Custom Computer Programming Services,San Francisco,Menlo Park,417 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,,CoStar Research,"417 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
113328818.0,5892602.0,,,,,San Francisco,Menlo Park,431-441 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"431 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
160243551.0,5892606.0,,,,,San Francisco,Menlo Park,401-409 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Office/Retail,Third Party - Landlord Rep,CoStar Research,"401 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
114146370.0,5894639.0,,,,,San Francisco,San Mateo,311 9th Ave,,San Mateo,San Mateo,94401.0,,CA,United States,False,Office/Retail,Direct - Landlord,CoStar Research,"311 9TH AVE, SAN MATEO, CA 94401, UNITED STATES"
174142521.0,5895886.0,,Stanford Health Care,Health Care and Social Assistance,General Medical and Surgical Hospitals,San Francisco,Menlo Park,445 Burgess Dr,C,Menlo Park,San Mateo,94025.0,,CA,United States,False,Medical,Third Party - Landlord Rep,CoStar Research,"445 BURGESS DR, MENLO PARK, CA 94025, UNITED STATES"
130855951.0,5898956.0,Cunha Country Grocery Store,,,,San Francisco,Peninsula Coastline,448 Main St,,Half Moon Bay,San Mateo,94019.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"448 MAIN ST, HALF MOON BAY, CA 94019, UNITED STATES"
111356150.0,5900810.0,Cubix Yerba Buena,"Art of Navigation, Inc",,,San Francisco,SoMa,766 Harrison St,101,San Francisco,San Francisco,94107.0,,CA,United States,False,Office/Retail,Third Party - Other,CoStar Research,"766 HARRISON ST, SAN FRANCISCO, CA 94107, UNITED STATES"
112518626.0,5902972.0,Hastings Garage,Philz's Coffee,Accommodation and Food Services,Snack and Nonalcoholic Beverage Bars,San Francisco,Civic Center,374-376 Larkin St,,San Francisco,San Francisco,94102.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"374 LARKIN ST, SAN FRANCISCO, CA 94102, UNITED STATES"
203020631.0,5909700.0,,,,,San Francisco,Mission,2950 21st St,,San Francisco,San Francisco,94110.0,,CA,United States,False,Office/Retail,Third Party - Landlord Rep,CoStar Research,"2950 21ST ST, SAN FRANCISCO, CA 94110, UNITED STATES"
181451891.0,5911448.0,,Kahnfections,Retailer,,San Francisco,Mission/Potrero,3325 20th St,,San Francisco,San Francisco,94110.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"3325 20TH ST, SAN FRANCISCO, CA 94110, UNITED STATES"
196516941.0,5911454.0,,,,,San Francisco,Redwood City,3520 Haven Ave,,Redwood City,San Mateo,94063.0,,CA,United States,False,Industrial,Third Party - Other,CoStar Research,"3520 HAVEN AVE, REDWOOD CITY, CA 94063, UNITED STATES"
111916182.0,5913236.0,,"Tesla Motors, Inc.",Manufacturing,Motor Vehicle Electrical and Electronic Equipment Manufacturing,San Francisco,Menlo Park,300 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Retail,Public Record - SEC filing,CoStar Research,"300 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
111066983.0,5914319.0,,Iris Designs,,,San Francisco,Menlo Park,3609-3609B Haven Ave,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Industrial,Third Party - Other,CoStar Research,"36093609B HAVEN AVE, MENLO PARK, CA 94025, UNITED STATES"
113691640.0,5918400.0,,K&B Market,Retailer,,San Francisco,Mission/Potrero,2887 Bryant St,,San Francisco,San Francisco,94110.0,,CA,United States,False,Retail,Direct - Landlord,CoStar Research,"2887 BRYANT ST, SAN FRANCISCO, CA 94110, UNITED STATES"
