LeaseCompId,PropertyId,PropertyName,Address.DeliveryAddress,Address.Locality,Address.Subdivision,Address.PostalCode,Address.County,Market,Submarket,full_address_std,match,matched_address,latitude,longitude,state_fips,county_fips,census_tract,census_block,geoid,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids
114500149.0,647266.0,,171-179 Maiden Ln,San Francisco,CA,94108.0,San Francisco,San Francisco,Union Square,"171 MAIDEN LN, SAN FRANCISCO, CA 94108, UNITED STATES",Match,"171 MAIDEN LN, SAN FRANCISCO, CA, 94108",37.788143893656,-122.405366477864,6.0,75.0,11700.0,3007.0,60750117003007.0,,,,
110048811.0,647728.0,,871 Industrial Rd,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos,"871 INDUSTRIAL RD, SAN CARLOS, CA 94070, UNITED STATES",Match,"871 INDUSTRIAL RD, SAN CARLOS, CA, 94070",37.506594047765,-122.250894693297,6.0,81.0,609100.0,2006.0,60816091002006.0,,,,
70318676.0,648052.0,,1510 Folger Dr,Belmont,CA,94002.0,San Mateo,San Francisco,Belmont/San Carlos,"1510 FOLGER DR, BELMONT, CA 94002, UNITED STATES",Match,"1510 FOLGER DR, BELMONT, CA, 94002",37.518477023848,-122.288370616372,6.0,81.0,608700.0,4001.0,60816087004001.0,,,,
110096995.0,648199.0,,900-910 Clement St,San Francisco,CA,94118.0,San Francisco,San Francisco,West of Van Ness,"900 CLEMENT ST, SAN FRANCISCO, CA 94118, UNITED STATES",Match,"900 CLEMENT ST, SAN FRANCISCO, CA, 94118",37.782805218446,-122.468778033265,6.0,75.0,40200.0,3002.0,60750402003002.0,,,,
70077016.0,648233.0,,410 Harriet St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market,"410 HARRIET ST, SAN FRANCISCO, CA 94103, UNITED STATES",Match,"410 HARRIET ST, SAN FRANCISCO, CA, 94103",37.774246828087,-122.401451255498,6.0,75.0,18000.0,3000.0,60750180003000.0,,,,
111195500.0,648488.0,,1485-1495 El Camino Real,Belmont,CA,94002.0,San Mateo,San Francisco,Belmont/San Carlos,"1485 EL CAMINO REAL, BELMONT, CA 94002, UNITED STATES",Match,"1485 EL CAMINO REAL, BELMONT, CA, 94002",37.516404719816,-122.270914681591,6.0,81.0,609000.0,1004.0,60816090001004.0,,,,
70309758.0,648489.0,,2480-2490 El Camino Real,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City,"2480 EL CAMINO REAL, REDWOOD CITY, CA 94063, UNITED STATES",Match,"2480 EL CAMINO REAL, REDWOOD CITY, CA, 94063",37.473972264939,-122.218481198444,6.0,81.0,610700.0,1002.0,60816107001002.0,,,,
70429005.0,648531.0,,330 Chestnut St,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City,"330 CHESTNUT ST, REDWOOD CITY, CA 94063, UNITED STATES",Match,"330 CHESTNUT ST, REDWOOD CITY, CA, 94063",37.480735000421,-122.222571205722,6.0,81.0,610203.0,1011.0,60816102031011.0,,,,
113930876.0,648658.0,,1028 El Camino Real,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos,"1028 EL CAMINO REAL, SAN CARLOS, CA 94070, UNITED STATES",Match,"1028 EL CAMINO REAL, SAN CARLOS, CA, 94070",37.501843050078,-122.253950070469,6.0,81.0,609201.0,3008.0,60816092013008.0,,,,
70064318.0,649383.0,,3661 Buchanan St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness,"3661 BUCHANAN ST, SAN FRANCISCO, CA 94123, UNITED STATES",Match,"3661 BUCHANAN ST, SAN FRANCISCO, CA, 94123",37.803633941741,-122.433517550298,6.0,75.0,12602.0,2008.0,60750126022008.0,,,,
114411999.0,649511.0,,28 S Park St,San Francisco,CA,94107.0,San Francisco,San Francisco,Rincon/South Beach,"28 S PARK ST, SAN FRANCISCO, CA 94107, UNITED STATES",Match,"28 S PARK AVE, SAN FRANCISCO, CA, 94107",37.782372267183,-122.393049295804,6.0,75.0,61502.0,2003.0,60750615022003.0,,,,
70054759.0,649531.0,,1901-1907 Union St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness,"1901 UNION ST, SAN FRANCISCO, CA 94123, UNITED STATES",Match,"1901 UNION ST, SAN FRANCISCO, CA, 94123",37.79765202456,-122.430619214845,6.0,75.0,13002.0,1003.0,60750130021003.0,,,,
10495469.0,650325.0,,700 Concar Dr,San Mateo,CA,94402.0,San Mateo,San Francisco,San Mateo,"700 CONCAR DR, SAN MATEO, CA 94402, UNITED STATES",Match,"700 CONCAR DR, SAN MATEO, CA, 94402",37.55499240393,-122.302076064876,6.0,81.0,607600.0,1010.0,60816076001010.0,,,,
111368951.0,650517.0,3425 19th St Apartments,3423-3425 19th St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission,"3423 19TH ST, SAN FRANCISCO, CA 94110, UNITED STATES",Match,"3423 19TH ST, SAN FRANCISCO, CA, 94110",37.760148042943,-122.419677594494,6.0,75.0,20801.0,1002.0,60750208011002.0,,,,
10470134.0,650651.0,,1670 Pine St,San Francisco,CA,94109.0,San Francisco,San Francisco,Van Ness/Chinatown,"1670 PINE ST, SAN FRANCISCO, CA 94109, UNITED STATES",Match,"1670 PINE ST, SAN FRANCISCO, CA, 94109",37.789321109193,-122.423321407738,6.0,75.0,15100.0,2000.0,60750151002000.0,,,,
70310656.0,650867.0,,1461 Bayshore Hwy,Burlingame,CA,94010.0,San Mateo,San Francisco,Burlingame,"1461 BAYSHORE HWY, BURLINGAME, CA 94010, UNITED STATES",Match,"1461 BAYSHORE HWY, BURLINGAME, CA, 94010",37.597263325912,-122.36599283595,6.0,81.0,605100.0,2004.0,60816051002004.0,,,,
70475727.0,650930.0,,306 6th Ave,San Mateo,CA,94401.0,San Mateo,San Francisco,San Mateo,"306 6TH AVE, SAN MATEO, CA 94401, UNITED STATES",Match,"306 6TH AVE, SAN MATEO, CA, 94401",37.563498054685,-122.320059542965,6.0,81.0,606300.0,2019.0,60816063002019.0,,,,
111767100.0,651511.0,,222 El Camino Real,Redwood City,CA,94062.0,San Mateo,San Francisco,Redwood City,"222 EL CAMINO REAL, REDWOOD CITY, CA 94062, UNITED STATES",Match,"222 EL CAMINO REAL, REDWOOD CITY, CA, 94062",37.492219248133,-122.242665573796,6.0,81.0,610000.0,3007.0,60816100003007.0,,,,
150115501.0,651904.0,Bldg 970,1 Franklin Pky,San Mateo,CA,94403.0,San Mateo,San Francisco,San Mateo,"1 FRANKLIN PKY, SAN MATEO, CA 94403, UNITED STATES",Match,"1 FRANKLIN PKWY W, SAN MATEO, CA, 94403",37.540546361997,-122.296241580133,6.0,81.0,607500.0,1017.0,60816075001017.0,,,,
119196631.0,651938.0,,75 Federal St,San Francisco,CA,94107.0,San Francisco,San Francisco,Rincon/South Beach,"75 FEDERAL ST, SAN FRANCISCO, CA 94107, UNITED STATES",Match,"75 FEDERAL ST, SAN FRANCISCO, CA, 94107",37.783620819291,-122.391752580678,6.0,75.0,61508.0,3001.0,60750615083001.0,,,,
11204595.0,652555.0,,217 Old County Rd,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos,"217 OLD COUNTY RD, SAN CARLOS, CA 94070, UNITED STATES",Match,"217 OLD COUNTY RD, SAN CARLOS, CA, 94070",37.515781643521,-122.26885372719,6.0,81.0,609100.0,1015.0,60816091001015.0,,,,
174730601.0,652919.0,Fillmore Golden Gate,1101-1119 Fillmore St,San Francisco,CA,94115.0,San Francisco,San Francisco,Alamo Square,"1101 FILLMORE ST, SAN FRANCISCO, CA 94115, UNITED STATES",Match,"1101 FILLMORE ST, SAN FRANCISCO, CA, 94115",37.779612507037,-122.432033383909,6.0,75.0,16101.0,2002.0,60750161012002.0,,,,
70312820.0,653042.0,,1559 Howard St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market,"1559 HOWARD ST, SAN FRANCISCO, CA 94103, UNITED STATES",Match,"1559 HOWARD ST, SAN FRANCISCO, CA, 94103",37.772374093743,-122.416299639461,6.0,75.0,17700.0,2006.0,60750177002006.0,,,,
